rule,size,length,mean_residual,delta_from_global,q_residual,q_signed,expr,operator,threshold,n_ops,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
temp > 24.6,71,1,3537.611277714509,2974.908103192596,3.8431160693548194,3.8431160693548194,temp,>,24.6,0,1,1,0,0,0.1,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,0.9734992320377551,3.8431160693548194,0.000999000999000999
(temp + day) > 29.3,72,2,3480.159351552054,2917.4561770301416,3.795345890417769,3.795345890417769,(temp + day),>,29.3,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6817363872679773,3.795345890417769,0.000999000999000999
(temp + month) > 32.93,74,2,3396.84728085299,2834.1441063310776,3.7378215267415786,3.7378215267415786,(temp + month),>,32.93,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6765502742678341,3.7378215267415786,0.000999000999000999
(temp + Y) > 28.93,74,2,3388.3447549158914,2825.641580393979,3.726607938692766,3.726607938692766,(temp + Y),>,28.93,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6755346754027683,3.726607938692766,0.000999000999000999
(temp * X) > 150,74,2,3330.031536750544,2767.3283622286317,3.649701333391677,3.649701333391677,(temp * X),>,150.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6685277776407578,3.649701333391677,0.000999000999000999
(temp * DC) > 16747.9,74,2,3319.642611162692,2756.9394366407796,3.6359998601266987,3.6359998601266987,(temp * DC),>,16747.920000000002,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6672717257605462,3.6359998601266987,0.000999000999000999
(Y / RH) > 0.17,72,2,3311.96583117081,2749.262656648897,3.5765413745522823,3.5765413745522823,(Y / RH),>,0.17,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6617933833355264,3.5765413745522823,0.000999000999000999
(temp * Y) > 116.23,74,2,3247.0265035129682,2684.323328991056,3.5402298356755804,3.5402298356755804,(temp * Y),>,116.23,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6584253191300231,3.5402298356755804,0.000999000999000999
(temp + X) > 29.96,74,2,3244.6575254850923,2681.9543509631794,3.537105500166601,3.537105500166601,(temp + X),>,29.96,1,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6581347171395681,3.537105500166601,0.000999000999000999
(X / RH) > 0.2,73,2,3210.313024159759,2647.6098496378463,3.4681365645263598,3.4681365645263598,(X / RH),>,0.2,1,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6516867471304488,3.4681365645263598,0.001998001998001998
(day + month) > 15,32,2,4514.000025535581,3951.296851013668,3.426852562719279,3.426852562719279,(day + month),>,15.0,1,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.6477963607339738,3.426852562719279,0.02097902097902098
(temp * RH) / RH > 24.6,71,3,3537.611277714509,2974.908103192596,3.8431160693548194,3.8431160693548194,(temp * RH) / RH,>,24.6,2,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.4834254118821725,3.8431160693548194,0.000999000999000999
(temp / DMC) + temp > 24.83,73,3,3445.6651585745226,2882.96198405261,3.7764272075056544,3.7764272075056544,(temp / DMC) + temp,>,24.830000000000002,2,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.47921266154808123,3.7764272075056544,0.000999000999000999
(temp * X) / X > 24.6,73,3,3443.400088076989,2880.696913555076,3.773460163923005,3.773460163923005,(temp * X) / X,>,24.6,2,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.47902437190807234,3.773460163923005,0.000999000999000999
