rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
day > 6 AND month > 8 AND ISI > 8.56,3,6,24018.55464160551,23455.851467083598,8.808614423812413,1,3,0,0,0.01,0,0,0,4.0,0.2,0.06081006262521797,1.0,True,0.7318827739149427,8.808614423812413,0.000999000999000999,L_conj,,,,,,
day > 6 AND temp > 24.1,2,16,9131.290569365052,8568.58739484314,5.254725018167259,1,2,0,0,0.1,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,0.8021688458026454,5.254725018167259,0.005994005994005994,L_poly,,,,,,
temp > 24.6,1,71,3537.611277714509,2974.908103192596,3.8431160693548194,1,1,0,0,0.1,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,0.9734992320377551,3.8431160693548194,0.000999000999000999,L_symb,,3.8431160693548194,temp,>,24.6,0.0
