rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
day > 6 AND month > 8 AND ISI > 8.56,3,6,24018.55464160551,23455.851467083598,8.808614423812413,1,3,0,0,0.01,0,0,0,4.0,0.2,0.06081006262521797,1.0,True,0.7318827739149427,8.808614423812413,0.000999000999000999,L_conj,,,,,,
RH <= 30 AND day > 6.2 AND ISI > 8.4,3,6,23543.44164953532,22980.738475013408,8.630190410479825,1,4,0,0,0.2,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5104989410692989,8.630190410479825,0.001998001998001998,L_conj,,,,,,
RH <= 30 AND day > 6.2 AND Y > 4,3,6,23489.391124985326,22926.687950463413,8.609892267356184,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5098982428114553,8.609892267356184,0.004995004995004995,L_conj,,,,,,
day > 6 AND FFMC > 92.2 AND RH <= 29.6,3,6,23451.82930745366,22889.126132931746,8.595786296052676,1,4,0,0,0.2,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5094803770492183,8.595786296052676,0.004995004995004995,L_conj,,,,,,
day > 6 AND RH <= 27.6 AND ISI > 8.1,3,6,23363.458802431986,22800.75562791007,8.56259962166288,1,4,0,0,0.2,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.508495923156866,8.56259962166288,0.004995004995004995,L_conj,,,,,,
temp > 25.05 AND temp <= 25.45,2,6,23331.96780841477,22769.264633892857,8.550773488447913,1,3,0,0,0.02,0,0,0,4.0,0.2,0.06081006262521797,0.0,True,0.7210915831755154,8.550773488447913,0.000999000999000999,L_tree,13.0,,,,,
temp > 23.58 AND month > 8 AND DC <= 688,3,6,23302.25112332366,22739.547948801744,8.539613679506898,1,4,0,0,0.01,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5078129464266797,8.539613679506898,0.002997002997002997,L_conj,,,,,,
day > 6 AND RH <= 27.6 AND X > 4,3,6,23040.586564715137,22477.883390193223,8.441348126947696,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.5048827844071431,8.441348126947696,0.008991008991008992,L_conj,,,,,,
day > 6 AND temp > 24.1 AND month > 8,3,6,23018.044805776804,22455.34163125489,8.432882790986605,1,3,0,0,0.1,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.7161034357067548,8.432882790986605,0.011988011988011988,L_conj,,,,,,
Y > 4 AND temp > 23.8 AND DC > 672.6,3,15,14747.114713352434,14184.411538830522,8.422436102698946,1,3,0,0,0.2,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.7156597423790301,8.422436102698946,0.000999000999000999,L_conj,,,,,,
RH <= 30 AND temp > 24.42 AND ISI <= 8.96,3,9,18872.20320248786,18309.500027965947,8.421287847719508,1,5,0,0,0.02,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.3553618843486641,8.421287847719508,0.000999000999000999,L_conj,,,,,,
day > 6 AND Y > 4 AND RH <= 31.8,3,7,20749.37512913171,20186.671954609796,8.188314553867954,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.497258156459702,8.188314553867954,0.002997002997002997,L_conj,,,,,,
Y > 4 AND temp > 23.8 AND day > 5,3,7,20622.21327581155,20059.510101289638,8.136733924005858,1,3,0,0,0.1,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.7034168746081741,8.136733924005858,0.004995004995004995,L_conj,,,,,,
Y > 4 AND DC > 672.6 AND temp > 23.62,3,16,13826.61987190235,13263.916697380439,8.134156973243705,1,3,0,0,0.11,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.703305477688254,8.134156973243705,0.000999000999000999,L_conj,,,,,,
day > 6 AND Y > 4 AND temp > 23.64,3,7,20468.524942645836,19905.821768123922,8.074393364945395,1,3,0,0,0.01,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.7007170371719058,8.074393364945395,0.003996003996003996,L_conj,,,,,,
Y > 4 AND temp > 23.8 AND day > 4,3,12,15760.467158091216,15197.763983569304,8.071441268207264,1,3,0,0,0.1,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.7005889301119826,8.071441268207264,0.000999000999000999,L_conj,,,,,,
