rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
origin > 2 AND displacement <= 91 AND weight > 2058,3,7,8.048609285714225,6.974967454055933,6.420720237895825,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.44032823083602113,6.420720237895825,0.000999000999000999,L_conj,,,,,,
weight > 2581 AND model > 79 AND displacement > 179.4,3,8,7.564912499999998,6.4912706683417065,6.388034511570356,1,3,0,0,0.1,0,0,0,4.0,0.2,0.06081006262521797,1.0,False,0.6232630092510281,6.388034511570356,0.000999000999000999,L_conj,,,,,,
model > 80 AND cylinders > 4 AND horsepower <= 112,3,9,7.132993444444462,6.05935161278617,6.3247003012778915,1,4,0,0,0.0,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4370233403709026,6.3247003012778915,0.000999000999000999,L_conj,,,,,,
model > 77 AND acceleration <= 14.4 AND origin > 1,3,11,6.541403727272766,5.4677618956144745,6.30955134061634,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4364996461114205,6.30955134061634,0.000999000999000999,L_conj,,,,,,
model > 77 AND origin > 2 AND acceleration <= 14.5,3,10,6.802591200000035,5.728949368341743,6.303293445700084,1,4,0,0,0.1,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.4362831294047394,6.303293445700084,0.000999000999000999,L_conj,,,,,,
horsepower*weight > 2.281e+05 AND model > 79,2,30,4.127455233333332,3.05381340167504,5.819633911561566,1,4,0,0,0.001,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,True,0.41921082596344267,5.819633911561566,0.000999000999000999,L_poly,,,,,,
model > 80 AND cylinders > 4,2,11,5.9477994545454695,4.874157622887178,5.624558704454521,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,0.8299176883563334,5.624558704454521,0.000999000999000999,L_poly,,,,,,
acceleration <= 14.8 AND model > 79,2,22,4.507250727272728,3.4336088956144364,5.6034397640047535,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5837341200972971,5.6034397640047535,0.000999000999000999,L_poly,,,,,,
model > 80 AND cylinders*horsepower > 393.6,2,12,5.682336500000005,4.608694668341713,5.554706305863951,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5811901911803743,5.554706305863951,0.000999000999000999,L_poly,,,,,,
(model + origin) > 80,2,103,2.646682407766992,1.5730405761087003,5.554578124824493,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,0.824738623818573,5.554578124824493,0.000999000999000999,L_symb,,5.554578124824493,(model + origin),>,80.0,1.0
model > 77 AND model*origin > 81,2,89,2.759898831460679,1.6862569998023875,5.534919522798435,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5801541198741197,5.534919522798435,0.000999000999000999,L_poly,,,,,,
model > 77 AND model*origin > 79,2,109,2.5965461559633063,1.5229043243050147,5.531952096196794,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5799985805236362,5.531952096196794,0.000999000999000999,L_poly,,,,,,
model > 77 AND model^2 > 6241,2,89,2.724550775280898,1.6509089436226063,5.4188941208191554,1,2,0,0,0.0,1,2,0,3.0,0.25,0.12245642825298195,3.0,False,0.8146032280298161,5.4188941208191554,0.000999000999000999,L_poly,,,,,,
model > 79,1,89,2.724550775280898,1.6509089436226063,5.4188941208191554,1,1,0,0,0.0,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,True,1.1559770058764252,5.4188941208191554,0.000999000999000999,L_symb,,5.4188941208191554,model,>,79.0,0.0
(target * model) / target > 79,3,91,2.682752406593405,1.6091105749351133,5.340711605414508,1,3,0,0,0.0,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5698850824407361,5.340711605414508,0.000999000999000999,L_symb,,5.340711605414508,(target * model) / target,>,79.0,2.0
acceleration <= 13.5 AND origin > 1,2,12,5.426857333333342,4.3532155016750504,5.246785768656656,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5648516364259855,5.246785768656656,0.000999000999000999,L_poly,,,,,,
model > 77 AND displacement <= 97,2,34,3.628596382352959,2.554954550694667,5.183405430523964,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5614296116540854,5.183405430523964,0.000999000999000999,L_poly,,,,,,
displacement*model <= 7469 AND model > 77,2,30,3.788393533333346,2.7147517016750546,5.173486060370231,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.39525402236412455,5.173486060370231,0.001998001998001998,L_poly,,,,,,
(target * weight) / weight > 32.49,3,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target * weight) / weight,>,32.49,2.0
(target * model) / model > 32.49,3,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target * model) / model,>,32.49,2.0
(target / weight) + target > 32.5,3,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,3,0,0,0.1,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target / weight) + target,>,32.5,2.0
(target / model) + target > 32.89,3,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target / model) + target,>,32.89,2.0
(target * origin) / origin > 32.49,3,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5599735413227442,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target * origin) / origin,>,32.49,2.0
target > 32.49,1,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,1,0,0,0.01,0,0,3,2.0,0.3333333333333333,0.2465969639416065,3.0,False,1.127648234950507,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,target,>,32.49,0.0
(target + cylinders) > 36.73,2,57,3.0366838421052664,1.9630420104469748,5.156553922894619,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7946402805619518,5.156553922894619,0.000999000999000999,L_symb,,5.156553922894619,(target + cylinders),>,36.730000000000004,1.0
horsepower*model > 6699 AND model > 79,2,40,3.4111990249999935,2.337557193341702,5.143808397805656,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5592810660148295,5.143808397805656,0.000999000999000999,L_poly,,,,,,
acceleration*horsepower <= 1600 AND model > 78,2,89,2.6392167415730348,1.5655749099147431,5.138796241798257,1,4,0,0,0.0,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.39392664347915246,5.138796241798257,0.000999000999000999,L_poly,,,,,,
model > 80 AND displacement > 151,2,11,5.501537636363644,4.4278958047053525,5.1095926348029845,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.7910135674473079,5.1095926348029845,0.002997002997002997,L_poly,,,,,,
acceleration <= 17.76 AND model > 79,2,62,2.9322616290322556,1.858619797373964,5.091889207112723,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5564513469883923,5.091889207112723,0.000999000999000999,L_poly,,,,,,
model > 77 AND model*origin > 158,2,59,2.9774925084745805,1.9038506768162888,5.088050702301836,1,3,0,0,0.0,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.5562415678886817,5.088050702301836,0.000999000999000999,L_poly,,,,,,
