rule,length,size,mean_residual,delta_from_global,q_residual,leaf_id,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value
DIS <= 1.34,1,10,12.632326100000027,11.193007499209514,8.053246424196972,1,1,2,0,0,0.01,0,0,0,3.0,0.25,0.12245642825298195,0.0,True,0.9930618273542992,8.053246424196972,0.000999000999000999
DIS > 1.34 AND RM > 8.28,2,7,12.443245571428577,11.003926970638064,6.624008989524886,10,1,2,0,0,0.02,0,0,0,3.0,0.25,0.12245642825298195,0.0,False,0.9006400399565088,6.624008989524886,0.000999000999000999
DIS > 1.34 AND RM <= 8.28 AND RM > 6.77 AND INDUS > 6.66,4,19,4.018949947368379,2.5796313465778664,2.558342230788573,9,1,5,0,0,0.04,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.19586683602606741,2.5318806502803173,0.03896103896103896
DIS > 1.34 AND RM <= 8.28 AND RM <= 6.77 AND DIS > 1.42,4,392,0.7867787474489811,-0.6525398533415319,2.9395054396984426,6,1,6,0,0,0.04,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.14795023299795254,2.903091825071507,0.000999000999000999
DIS > 1.34 AND RM <= 8.28 AND RM <= 6.77 AND DIS <= 1.42,4,7,4.179332999999999,2.740014399209486,1.6494002604907183,5,1,7,0,0,0.04,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.07809774245921661,1.4328265572589542,0.06593406593406594
DIS > 1.34 AND RM <= 8.28 AND RM > 6.77 AND INDUS <= 6.66,4,71,1.4202335633802732,-0.019085037410239813,0.036588649821838806,8,1,6,0,0,0.04,0,0,0,7.0,0.125,0.007446583070924344,0.0,False,0.01650637514269211,0.036588649821838806,0.98001998001998
