rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
(target * timbre_avg_1) / timbre_avg_1 <= 1988,3,74713,45.75975726375895,34.19703932063996,333.04203837525785,1,4,0,0,0.0,0,0,13,5.0,0.16666666666666666,0.0301973834223185,13.0,True,3.1712770501121743,333.04203837525785,0.000999000999000999,L_symb,,333.04203837525785,(target * timbre_avg_1) / timbre_avg_1,<=,1988.0,2.0
target <= 1988,1,75562,45.31009137988966,33.74737343677067,330.52488294843954,1,2,0,0,0.0,0,0,5,3.0,0.25,0.12245642825298195,5.0,True,6.36198841672954,330.52488294843954,0.000999000999000999,L_symb,,330.52488294843954,target,<=,1988.0,0.0
timbre_avg_3*timbre_cov_3_3 > 1758 AND timbre_avg_1*timbre_avg_6 > -409.9,2,61841,25.30123354722236,13.738515604103371,121.72801043226467,1,5,0,0,0.1,2,1,0,6.0,0.14285714285714285,0.014995576820477717,3.0,True,1.3510668864423174,121.73917678179124,0.000999000999000999,L_poly,,,,,,
timbre_avg_3*timbre_cov_3_3 > 1758 AND timbre_avg_6 > -9.93,2,61845,25.125953076138384,13.563235133019395,120.17885121712641,1,4,0,0,0.01,2,1,0,5.0,0.16666666666666666,0.0301973834223185,3.0,True,1.9050162333842027,120.18703973864685,0.000999000999000999,L_poly,,,,,,
timbre_avg_6 > -8.1 AND timbre_avg_3 > 16.18 AND timbre_cov_3_3 > 19.42,3,65956,24.62956510239824,13.06684715927925,119.56675051862752,1,4,0,0,0.12,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,True,1.9001586802084962,119.56675051862752,0.000999000999000999,L_conj,,,,,,
timbre_avg_6 > 0.04687 AND timbre_avg_3*timbre_cov_3_3 > 988.5,2,41227,27.18143834661751,15.618720403498523,112.99228147308737,1,3,0,0,0.10001,1,1,0,4.0,0.2,0.06081006262521797,2.0,True,2.6212721553750766,112.98888664973495,0.000999000999000999,L_poly,,,,,,
timbre_avg_6 > -8.76 AND timbre_avg_3 > 26.79 AND timbre_avg_2 <= -54.36 AND timbre_cov_7_10 <= -104.34,4,7055,43.39181763288448,31.829099689765492,95.25446104174016,1,9,0,0,0.04,0,0,0,10.0,0.09090909090909091,0.0009118819655545162,0.0,True,0.29472160620249427,95.25446104174016,0.000999000999000999,L_tree,26.0,,,,,
timbre_avg_6 > -8.76 AND timbre_avg_3 > 26.79 AND timbre_avg_2 > -54.36 AND timbre_cov_3_3 > 37.2,4,31870,24.131997066206466,12.569279123087478,79.94915223867694,1,6,0,0,0.13,0,0,0,7.0,0.125,0.007446583070924344,0.0,True,0.7715879752790895,79.93108245053519,0.000999000999000999,L_tree,30.0,,,,,
