rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops,dataset
Contraceptive_Method <= 1 AND Husband_Education > 2 AND Husband_Occupation <= 1,3,153,32.687412158424635,19.920036709170432,9.07634337583464,3,7,0,0,0.0,0,0,0,10.0,0.0909090909090909,0.0009118819655545,3.0,False,0.0909755672562903,9.07634337583464,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education > 3 AND Wife_Education > 3,3,168,31.619915070938024,18.85253962168382,9.001182579001426,2,5,0,0,0.0,0,0,0,7.0,0.125,0.0074465830709243,2.0,False,0.258897767103332,9.001182579001426,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education > 2 AND Wife_Education > 3,3,172,31.255843826555736,18.488468377301533,8.931825426789596,2,5,0,0,0.0,0,0,0,7.0,0.125,0.0074465830709243,2.0,False,0.2578983908743577,8.931825426789596,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method <= 1,2,158,31.942775724613725,19.17540027535952,8.878672763952126,2,5,0,0,0.0,0,0,0,7.0,0.125,0.0074465830709243,2.0,False,0.2571298782645124,8.878672763952126,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method <= 1,2,158,31.942775724613725,19.17540027535952,8.878672763952126,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,True,0.3648846660189043,8.878672763952126,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Wife_working > 0,3,116,35.13901321121769,22.371637761963484,8.875684194346334,1,4,0,0,0.0,0,0,0,5.0,0.1666666666666666,0.0301973834223185,1.0,False,0.5177088358837314,8.875684194346334,0.0009990009990009,L_conj,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3 AND Media_Exposure <= 0,3,173,31.0434372072917,18.276061758037496,8.854840370644496,1,5,0,0,0.0,0,0,0,6.0,0.1428571428571428,0.0149955768204777,1.0,False,0.3643946198986298,8.854840370644496,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method <= 1 AND Wife_working > 0,3,117,34.9204885447639,22.153113095509696,8.826789372273675,2,6,0,0,0.0,0,0,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1806661677037734,8.826789372273675,0.0009990009990009,L_conj,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method*Husband_Education <= 4,2,159,31.75429890733803,18.986923458083822,8.819180467572426,1,7,0,0,0.0,1,1,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1805882816246698,8.819180467572426,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method <= 1 AND Wife_Education > 3,2,175,30.72924093238621,17.96186548313201,8.752770310048032,1,3,0,0,0.0,1,1,0,4.0,0.2,0.0608100626252179,2.0,True,0.7295591207696395,8.752770310048032,0.0009990009990009,L_poly,,,,,,,cmc
(Contraceptive_Method / Wife_Education) <= 0.33,2,175,30.72924093238621,17.96186548313201,8.752770310048032,1,3,0,0,0.01,0,0,9,4.0,0.2,0.0608100626252179,9.0,False,0.7295591207696395,8.752770310048032,0.0009990009990009,L_symb,,8.752770310048032,(Contraceptive_Method / Wife_Education),<=,0.33,1.0,cmc
(Wife_Education - Contraceptive_Method) > 2,2,175,30.72924093238621,17.96186548313201,8.752770310048032,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,1.0352936730644244,8.752770310048032,0.0009990009990009,L_symb,,8.752770310048032,(Wife_Education - Contraceptive_Method),>,2.0,1.0,cmc
(Wife_Education / Contraceptive_Method) > 3,2,175,30.72924093238621,17.96186548313201,8.752770310048032,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,True,1.0352936730644244,8.752770310048032,0.0009990009990009,L_symb,,8.752770310048032,(Wife_Education / Contraceptive_Method),>,3.0,1.0,cmc
Wife_Education > 3 AND Contraceptive_Method*Husband_Education <= 4,2,177,30.410084886696968,17.642709437442765,8.64623395495096,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3600767494289099,8.64623395495096,0.0009990009990009,L_poly,,,,,,,cmc
Husband_Occupation <= 1 AND Contraceptive_Method*SOLI <= 4,2,168,30.242898289616875,17.47552284036267,8.343723175029968,1,6,0,0,0.0,1,1,0,7.0,0.125,0.0074465830709243,2.0,False,0.2492633702405094,8.343723175029968,0.0009990009990009,L_poly,,,,,,,cmc
Wife_Education > 3 AND Contraceptive_Method*SOLI <= 4,2,189,28.557034954884355,15.789659505630151,7.996109537248805,1,4,0,0,0.0,1,1,0,5.0,0.1666666666666666,0.0301973834223185,2.0,False,0.4913874088569628,7.996109537248805,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education*SOLI > 8,2,375,23.96583116692384,11.198455717669637,7.988198326806984,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3461035129362972,7.988198326806984,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method*Husband_Occupation <= 2 AND Children*Husband_Occupation <= 1,2,112,32.33919543630107,19.571819987046865,7.629837560340422,1,8,0,0,0.0,1,1,0,9.0,0.1,0.0018363047770289,2.0,False,0.118366833023477,7.629837560340422,0.0009990009990009,L_poly,,,,,,,cmc
Husband_Occupation <= 1 AND Children <= 1,2,98,33.13004617295367,20.362670723699463,7.42545113198068,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3336898603139141,7.42545113198068,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method <= 1 AND Husband_Education*SOLI > 12,2,168,28.30436876405443,15.536993314800227,7.418168393312231,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3335261818945453,7.418168393312231,0.0009990009990009,L_poly,,,,,,,cmc
Husband_Occupation <= 1 AND Children*Husband_Education <= 4,2,100,32.499727669772376,19.732352220518173,7.26865283963093,1,7,0,0,0.0,1,1,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1639465998530675,7.26865283963093,0.0009990009990009,L_poly,,,,,,,cmc
(Wife_Education / Contraceptive_Method) > 2,2,350,23.288638848316292,10.52126339906209,7.250650697496776,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,False,0.9422785081521532,7.250650697496776,0.0009990009990009,L_symb,,7.250650697496776,(Wife_Education / Contraceptive_Method),>,2.0,1.0,cmc
Contraceptive_Method <= 1 AND Wife_Education > 2,2,350,23.288638848316292,10.52126339906209,7.250650697496776,1,3,0,0,0.0,1,1,0,4.0,0.2,0.0608100626252179,2.0,False,0.6640124418927399,7.250650697496776,0.0009990009990009,L_poly,,,,,,,cmc
(SOLI / Contraceptive_Method) > 2,2,432,22.1937124678634,9.426337018609196,7.217053160278994,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,False,0.9400928424999636,7.217053160278994,0.0009990009990009,L_symb,,7.217053160278994,(SOLI / Contraceptive_Method),>,2.0,1.0,cmc
Contraceptive_Method <= 1 AND SOLI > 2,2,432,22.1937124678634,9.426337018609196,7.217053160278994,1,3,0,0,0.0,1,1,0,4.0,0.2,0.0608100626252179,2.0,False,0.6624722293395345,7.217053160278994,0.0009990009990009,L_poly,,,,,,,cmc
Contraceptive_Method*Husband_Education <= 4 AND Wife_Education > 2,2,357,22.964111093762472,10.19673564450827,7.096926968503321,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3262246366317412,7.096926968503321,0.0009990009990009,L_poly,,,,,,,cmc
Children*Husband_Occupation <= 4 AND Wife_Education > 3,2,354,22.88214437037448,10.114768921120277,7.0102364135747175,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3242260610584379,7.0102364135747175,0.0009990009990009,L_poly,,,,,,,cmc
Husband_Occupation <= 1 AND Children <= 2,2,187,26.50896747077683,13.741592021522628,6.922021145750641,1,5,0,0,0.0,1,1,0,6.0,0.1428571428571428,0.0149955768204777,2.0,False,0.3221796080512777,6.922021145750641,0.0009990009990009,L_poly,,,,,,,cmc
(Contraceptive_Method - SOLI) <= -3,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,4,0,0,0.0,0,0,10,5.0,0.1666666666666666,0.0301973834223185,10.0,False,0.456846511526249,6.911484090354968,0.0009990009990009,L_symb,,6.911484090354968,(Contraceptive_Method - SOLI),<=,-3.0,1.0,cmc
(SOLI - Contraceptive_Method) > 2,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,False,0.9199758994844264,6.911484090354968,0.0009990009990009,L_symb,,6.911484090354968,(SOLI - Contraceptive_Method),>,2.0,1.0,cmc
(SOLI / Contraceptive_Method) > 3,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,2,0,0,0.0,0,0,7,3.0,0.25,0.1224564282529819,7.0,False,0.9199758994844264,6.911484090354968,0.0009990009990009,L_symb,,6.911484090354968,(SOLI / Contraceptive_Method),>,3.0,1.0,cmc
(Contraceptive_Method / SOLI) <= 0.33,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,3,0,0,0.01,0,0,9,4.0,0.2,0.0608100626252179,9.0,False,0.6482960591949355,6.911484090354968,0.0009990009990009,L_symb,,6.911484090354968,(Contraceptive_Method / SOLI),<=,0.33,1.0,cmc
(Contraceptive_Method / SOLI) <= 0.25,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,3,0,0,0.01,0,0,9,4.0,0.2,0.0608100626252179,9.0,False,0.6482960591949355,6.911484090354968,0.0009990009990009,L_symb,,6.911484090354968,(Contraceptive_Method / SOLI),<=,0.25,1.0,cmc
Contraceptive_Method <= 1 AND SOLI > 3,2,248,24.68172683179573,11.914351382541524,6.911484090354968,1,3,0,0,0.0,1,1,0,4.0,0.2,0.0608100626252179,2.0,False,0.6482960591949355,6.911484090354968,0.0009990009990009,L_poly,,,,,,,cmc
Children*Husband_Occupation <= 4 AND Husband_Education*SOLI > 8,2,509,21.048106882556375,8.280731433302172,6.881809692349907,1,7,0,0,0.0,1,1,0,8.0,0.1111111111111111,0.0036978637164829,2.0,False,0.1595242751592411,6.881809692349907,0.0009990009990009,L_poly,,,,,,,cmc
