rule,length,size,mean_residual,delta_from_global,q_residual,n_predicates,n_operators,depth,n_splits,precision_penalty,n_terms,degree,n_tokens,complexity,I_inv,I_exp,expressiveness,pareto,score,q_perm,p_value,language,leaf_id,q_signed,expr,operator,threshold,n_ops
LSTAT <= 9.53 AND PTRATIO > 19.2 AND B <= 378.7,3,8,20.394815750000085,18.95549714920957,12.198442023329408,1,5,0,0,0.21000000000000002,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4276946041873568,12.198442023329408,0.000999000999000999,L_conj,,,,,,
DIS <= 1.951 AND RAD > 5 AND LSTAT <= 14.27,3,14,15.701733642857196,14.262415042066683,12.14174987473835,1,5,0,0,0.011,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.42669959336946245,13.264096567322687,0.000999000999000999,L_conj,,,,,,
DIS <= 2.64 AND LSTAT <= 11.65 AND TAX > 403,3,12,16.646450750000067,15.207132149209555,11.985665046938236,1,5,0,0,0.02,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.42394806398411233,11.985665046938236,0.000999000999000999,L_conj,,,,,,
PTRATIO > 19.7 AND LSTAT <= 11.45 AND NOX > 0.63,3,10,18.042415600000076,16.603096999209562,11.945746623409555,1,4,0,0,0.12,0,0,0,5.0,0.16666666666666666,0.0301973834223185,1.0,False,0.6006082675529574,11.945746623409555,0.000999000999000999,L_conj,,,,,,
LSTAT <= 13.33 AND B <= 379.2 AND RAD > 8,3,12,16.443599000000056,15.004280399209543,11.825785254625668,1,5,0,0,0.11,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.4211109963515698,11.825785254625668,0.000999000999000999,L_conj,,,,,,
DIS <= 1.951 AND LSTAT <= 13.66 AND INDUS <= 18.1,3,15,14.820152266666716,13.380833665876203,11.79106396434718,1,6,0,0,0.111,0,0,0,7.0,0.125,0.007446583070924344,1.0,False,0.29631594169921704,12.257032212375067,0.000999000999000999,L_conj,,,,,,
PTRATIO > 19.7 AND LSTAT <= 14.81 AND DIS <= 1.95,3,15,14.800026666666719,13.360708065876207,11.773329476134686,1,5,0,0,0.12,0,0,0,6.0,0.14285714285714285,0.014995576820477717,1.0,False,0.42017599478334355,11.773329476134686,0.000999000999000999,L_conj,,,,,,
DIS <= 1.951 AND LSTAT <= 13.66,2,21,11.375046523809537,9.935727923019025,10.359374452514087,1,4,0,0,0.011,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,True,0.5593085037418426,10.658807963367984,0.000999000999000999,L_poly,,,,,,
NOX*RAD > 14.74 AND LSTAT <= 14.15,2,20,10.284189950000039,8.844871349209527,8.999755519802562,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.5213147495885814,8.999755519802562,0.000999000999000999,L_poly,,,,,,
CHAS > 0 AND TAX > 403,2,8,14.338075375000079,12.898756774209566,8.300744393284562,1,2,0,0,0.0,1,1,0,3.0,0.25,0.12245642825298195,2.0,True,1.0082060852041081,8.300744393284562,0.000999000999000999,L_poly,,,,,,
(CHAS + RAD) > 24,2,8,14.338075375000079,12.898756774209566,8.300744393284562,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,True,1.0082060852041081,8.300744393284562,0.000999000999000999,L_symb,,8.300744393284562,(CHAS + RAD),>,24.0,1.0
RM > 6.75 AND RAD > 8,2,12,11.780409000000029,10.341090399209516,8.150441814334897,1,2,0,0,0.01,1,1,0,3.0,0.25,0.12245642825298195,2.0,False,0.9990365324987898,8.150441814334897,0.000999000999000999,L_poly,,,,,,
DIS <= 1.34,1,10,12.632326100000027,11.193007499209514,8.053246424196972,1,2,0,0,0.01,0,0,0,3.0,0.25,0.12245642825298195,0.0,True,0.9930618273542992,8.053246424196972,0.000999000999000999,L_tree,1.0,,,,,
LSTAT <= 9.53 AND DIS <= 3.09,2,40,6.786062075000018,5.3467434742095055,7.693846853549796,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4820104183824681,7.693846853549796,0.000999000999000999,L_poly,,,,,,
NOX*PTRATIO > 13.23 AND CHAS > 0,2,6,15.201609666666775,13.762291065876262,7.669915116645891,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6829407138056294,7.669915116645891,0.000999000999000999,L_poly,,,,,,
DIS <= 2.64 AND LSTAT <= 11.65,2,41,6.672865804878066,5.233547204087554,7.624515781979318,1,4,0,0,0.02,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4798337487900867,7.748447115429525,0.000999000999000999,L_poly,,,,,,
DIS <= 1.951 AND CHAS > 0,2,10,11.934551200000053,10.49523259920954,7.551205018550094,1,3,0,0,0.001,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6776350419465418,7.551205018550094,0.000999000999000999,L_poly,,,,,,
DIS*NOX <= 1.277 AND LSTAT <= 12.16,2,21,8.569090095238105,7.129771494447592,7.433775687509045,1,5,0,0,0.011,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3338768551251216,7.433775687509045,0.000999000999000999,L_poly,,,,,,
CHAS > 0 AND B <= 359.1,2,7,13.675538000000074,12.236219399209562,7.3658092710390894,1,3,0,0,0.1,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6692647630477031,7.3658092710390894,0.000999000999000999,L_poly,,,,,,
LSTAT <= 9.53 AND AGE*PTRATIO > 1335,2,41,6.487110439024392,5.047791838233879,7.353897277300022,1,4,0,0,0.01,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4712413985750539,7.353897277300022,0.000999000999000999,L_poly,,,,,,
AGE*DIS <= 146.8 AND DIS*NOX <= 1,2,21,8.491195666666679,7.051877065876166,7.352559941708829,1,6,0,0,0.1,1,1,0,7.0,0.125,0.007446583070924344,2.0,False,0.23399027413524146,7.352559941708829,0.000999000999000999,L_poly,,,,,,
DIS*NOX <= 1.533 AND LSTAT <= 9.55,2,41,6.47937719512197,5.040058594331457,7.3426310676184015,1,5,0,0,0.011,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3318237306747335,7.3426310676184015,0.000999000999000999,L_poly,,,,,,
RM > 6.75 AND AGE*PTRATIO > 1444,2,20,8.528427700000002,7.089109099209489,7.2132477937957855,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6622975540283514,7.2132477937957855,0.000999000999000999,L_poly,,,,,,
LSTAT <= 9.53 AND CRIM > 0.37,2,40,6.436810149999994,4.997491549209482,7.191280976353879,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6612883232959872,7.191280976353879,0.000999000999000999,L_poly,,,,,,
LSTAT <= 9.53 AND AGE > 76.96,2,41,6.373303463414637,4.933984862624124,7.188097094785533,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6611419170571895,7.188097094785533,0.000999000999000999,L_poly,,,,,,
AGE*PTRATIO > 1499 AND AGE*DIS <= 158.2,2,41,6.3535308536585555,4.914212252868042,7.159291283113782,1,5,0,0,0.1,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.3276548525752506,7.159291283113782,0.000999000999000999,L_poly,,,,,,
AGE*PTRATIO > 1499 AND LSTAT <= 12.7,2,41,6.340861365853674,4.9015427650631604,7.140833685245463,1,4,0,0,0.1,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.464364611860513,7.140833685245463,0.000999000999000999,L_poly,,,,,,
RM > 6.75 AND B*INDUS > 2544,2,20,8.431739499999994,6.992420899209481,7.1148664689246655,1,3,0,0,0.01,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6577655171452608,6.653026016359266,0.000999000999000999,L_poly,,,,,,
LSTAT <= 6.29 AND AGE*PTRATIO > 1270,2,21,8.218555428571406,6.779236827780894,7.068294678093064,1,4,0,0,0.01,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.46200000490942594,7.068294678093064,0.000999000999000999,L_poly,,,,,,
AGE*INDUS > 872.4 AND LSTAT <= 12.03,2,42,6.211293333333347,4.771974732542834,7.036342554557699,1,4,0,0,0.11,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.46095458996603433,7.036342554557699,0.000999000999000999,L_poly,,,,,,
LSTAT <= 9.53 AND NOX > 0.52,2,38,6.438350394736854,4.99903179394634,7.011353933739841,1,3,0,0,0.02,1,1,0,4.0,0.2,0.06081006262521797,2.0,False,0.6529631473508195,7.011353933739841,0.000999000999000999,L_poly,,,,,,
LSTAT <= 9.53 AND AGE*INDUS > 457.7,2,41,6.251607560975623,4.812288960185111,7.0108038952470295,1,4,0,0,0.11,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.4601173038731087,7.0108038952470295,0.000999000999000999,L_poly,,,,,,
DIS <= 1.951 AND LSTAT <= 17.89,2,41,6.246209463414637,4.806890862624124,7.002939653568983,1,4,0,0,0.011,1,1,0,5.0,0.16666666666666666,0.0301973834223185,2.0,False,0.45985916735689947,7.26318933580271,0.000999000999000999,L_poly,,,,,,
DIS <= 1.951 AND DIS*NOX <= 0.95,2,21,8.13419347619048,6.694874875399968,6.980335641671139,1,5,0,0,0.011,1,1,0,6.0,0.14285714285714285,0.014995576820477717,2.0,False,0.32353386120682665,6.980335641671139,0.000999000999000999,L_poly,,,,,,
(DIS * LSTAT) <= 20.27,2,73,4.995139986301362,3.5558213855108494,6.912347472651591,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6483365504884099,6.912347472651591,0.000999000999000999,L_symb,,6.912347472651591,(DIS * LSTAT),<=,20.27,1.0
DIS > 1.34 AND RM > 8.28,2,7,12.443245571428577,11.003926970638064,6.624008989524886,1,2,0,0,0.02,0,0,0,3.0,0.25,0.12245642825298195,0.0,False,0.9006400399565088,6.624008989524886,0.000999000999000999,L_tree,10.0,,,,,
(DIS - RM) <= -4.34,2,73,4.68307712328766,3.243758522497147,6.3057121249789505,1,4,0,0,0.01,0,0,10,5.0,0.16666666666666666,0.0301973834223185,10.0,False,0.43636682594893955,6.3057121249789505,0.000999000999000999,L_symb,,6.3057121249789505,(DIS - RM),<=,-4.34,1.0
(RM - DIS) > 4.34,2,73,4.68307712328766,3.243758522497147,6.3057121249789505,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8787348772049753,6.3057121249789505,0.000999000999000999,L_symb,,6.3057121249789505,(RM - DIS),>,4.34,1.0
(CHAS + TAX) > 666,2,13,9.057135153846204,7.617816553055691,6.249228143129416,1,2,0,0,0.0,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8747903507387601,6.249228143129416,0.000999000999000999,L_symb,,6.249228143129416,(CHAS + TAX),>,666.0,1.0
(RM / DIS) + RM > 9.65,3,74,4.585784216216205,3.1464656154256923,6.158331225514988,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.6119546613029447,6.158331225514988,0.000999000999000999,L_symb,,6.158331225514988,(RM / DIS) + RM,>,9.65,2.0
(AGE / LSTAT) > 9.3,2,73,4.492412712328763,3.05309411153825,5.935069588043143,1,2,0,0,0.1,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8525182831967067,5.935069588043143,0.000999000999000999,L_symb,,5.935069588043143,(AGE / LSTAT),>,9.3,1.0
(LSTAT / AGE) <= 0.11,2,76,4.317931342105258,2.8786127413147446,5.709712398991641,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5892435562266806,5.709712398991641,0.000999000999000999,L_symb,,5.709712398991641,(LSTAT / AGE),<=,0.11,1.0
(CRIM - LSTAT) > -4.04,2,73,4.257546178082192,2.818227577291679,5.478500228000194,1,3,0,0,0.01,0,0,8,4.0,0.2,0.06081006262521797,8.0,False,0.5771896932178907,5.478500228000194,0.000999000999000999,L_symb,,5.478500228000194,(CRIM - LSTAT),>,-4.04,1.0
(LSTAT - CRIM) <= 4.04,2,73,4.257546178082192,2.818227577291679,5.478500228000194,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5771896932178907,5.478500228000194,0.000999000999000999,L_symb,,5.478500228000194,(LSTAT - CRIM),<=,4.04,1.0
(LSTAT / RAD) <= 0.69,2,71,4.293476802816899,2.8541582020263863,5.471815053086673,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5768374260151737,5.471815053086673,0.000999000999000999,L_symb,,5.471815053086673,(LSTAT / RAD),<=,0.6900000000000001,1.0
(RAD / LSTAT) > 1.44,2,73,4.193490616438353,2.7541720156478404,5.353979265996234,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8097093168874993,5.353979265996234,0.000999000999000999,L_symb,,5.353979265996234,(RAD / LSTAT),>,1.44,1.0
(CRIM / LSTAT) > 0.49,2,73,4.161016547945216,2.7216979471547034,5.290851223010182,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.8049215757996229,5.290851223010182,0.000999000999000999,L_symb,,5.290851223010182,(CRIM / LSTAT),>,0.49,1.0
(LSTAT / CRIM) <= 2.03,2,73,4.161016547945216,2.7216979471547034,5.290851223010182,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5672186476236128,5.290851223010182,0.000999000999000999,L_symb,,5.290851223010182,(LSTAT / CRIM),<=,2.0300000000000002,1.0
(RM + DIS) / RM <= 1.29,3,68,4.224009176470589,2.784690575680076,5.224630664632034,1,4,0,0,0.01,0,0,11,5.0,0.16666666666666666,0.0301973834223185,11.0,False,0.3972029398429678,5.224630664632034,0.000999000999000999,L_symb,,5.224630664632034,(RM + DIS) / RM,<=,1.29,2.0
(DIS / RM) <= 0.29,2,68,4.224009176470589,2.784690575680076,5.224630664632034,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5636578021369953,5.224630664632034,0.000999000999000999,L_symb,,5.224630664632034,(DIS / RM),<=,0.29,1.0
(RM - DIS) / RM > 0.71,3,68,4.224009176470589,2.784690575680076,5.224630664632034,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5636578021369953,5.224630664632034,0.000999000999000999,L_symb,,5.224630664632034,(RM - DIS) / RM,>,0.71,2.0
(TAX / LSTAT) > 58.78,2,73,4.1137315205479394,2.6744129197574265,5.19893138109808,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7978988455071315,5.19893138109808,0.000999000999000999,L_symb,,5.19893138109808,(TAX / LSTAT),>,58.78,1.0
(DIS / RAD) <= 0.08,2,64,4.28511843750001,2.845799836709497,5.179866069756327,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5612378997289152,5.179866069756327,0.000999000999000999,L_symb,,5.179866069756327,(DIS / RAD),<=,0.08,1.0
(RM + DIS) / DIS > 4.39,3,74,4.018690283783784,2.5793716829932714,5.048402594870735,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5540701020190516,5.048402594870735,0.000999000999000999,L_symb,,5.048402594870735,(RM + DIS) / DIS,>,4.39,2.0
(RM - DIS) / DIS > 2.39,3,74,4.018690283783784,2.5793716829932714,5.048402594870735,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5540701020190516,5.048402594870735,0.000999000999000999,L_symb,,5.048402594870735,(RM - DIS) / DIS,>,2.39,2.0
(RM / DIS) > 3.39,2,74,4.018690283783784,2.5793716829932714,5.048402594870735,1,2,0,0,0.01,0,0,7,3.0,0.25,0.12245642825298195,7.0,False,0.7862629014209916,5.048402594870735,0.000999000999000999,L_symb,,5.048402594870735,(RM / DIS),>,3.39,1.0
(RM / DIS) - DIS > 1.59,3,72,4.004832750000004,2.565514149209491,4.95296040449167,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5488076460631388,4.95296040449167,0.000999000999000999,L_symb,,4.95296040449167,(RM / DIS) - DIS,>,1.59,2.0
(DIS / CHAS) <= 6.26179e+06,2,73,3.9576171369863045,2.5182985361957915,4.895452452416797,1,4,0,0,1e-05,0,0,11,5.0,0.16666666666666666,0.0301973834223185,11.0,False,0.38448648185776235,3.614259236458937,0.004995004995004995,L_symb,,4.895452452416797,(DIS / CHAS),<=,6261792.92,1.0
(DIS - CHAS) <= 1.75,2,72,3.9531578055555645,2.5138392047650515,4.853197184001743,1,3,0,0,0.01,0,0,9,4.0,0.2,0.06081006262521797,9.0,False,0.5432524502399207,4.853197184001743,0.000999000999000999,L_symb,,4.853197184001743,(DIS - CHAS),<=,1.75,1.0
DIS > 1.34 AND RM <= 8.28 AND RM > 6.77 AND INDUS > 6.66,4,19,4.018949947368379,2.5796313465778664,2.558342230788573,1,5,0,0,0.04,0,0,0,6.0,0.14285714285714285,0.014995576820477717,0.0,False,0.19586683602606741,2.5318806502803173,0.03896103896103896,L_tree,9.0,,,,,
DIS > 1.34 AND RM <= 8.28 AND RM <= 6.77 AND DIS <= 1.42,4,7,4.179332999999999,2.740014399209486,1.6494002604907183,1,7,0,0,0.04,0,0,0,8.0,0.1111111111111111,0.003697863716482932,0.0,False,0.07809774245921661,1.4328265572589542,0.06593406593406594,L_tree,5.0,,,,,
